,year_film,year_ceremony,ceremony,category,name,film,winner
7004,1991,1992,64,ACTOR IN A SUPPORTING ROLE,Ben Kingsley,Bugsy,False
7005,1991,1992,64,ACTOR IN A SUPPORTING ROLE,Michael Lerner,Barton Fink,False
7006,1991,1992,64,ACTOR IN A SUPPORTING ROLE,Jack Palance,City Slickers,True
7109,1992,1993,65,ACTOR IN A SUPPORTING ROLE,Jaye Davidson,The Crying Game,False
7110,1992,1993,65,ACTOR IN A SUPPORTING ROLE,Gene Hackman,Unforgiven,True
7111,1992,1993,65,ACTOR IN A SUPPORTING ROLE,Jack Nicholson,A Few Good Men,False
7112,1992,1993,65,ACTOR IN A SUPPORTING ROLE,Al Pacino,Glengarry Glen Ross,False
7113,1992,1993,65,ACTOR IN A SUPPORTING ROLE,David Paymer,Mr. Saturday Night,False
7221,1993,1994,66,ACTOR IN A SUPPORTING ROLE,Leonardo DiCaprio,What's Eating Gilbert Grape,False
7222,1993,1994,66,ACTOR IN A SUPPORTING ROLE,Ralph Fiennes,Schindler's List,False
7223,1993,1994,66,ACTOR IN A SUPPORTING ROLE,Tommy Lee Jones,The Fugitive,True
7224,1993,1994,66,ACTOR IN A SUPPORTING ROLE,John Malkovich,In the Line of Fire,False
7225,1993,1994,66,ACTOR IN A SUPPORTING ROLE,Pete Postlethwaite,In the Name of the Father,False
7330,1994,1995,67,ACTOR IN A SUPPORTING ROLE,Samuel L. Jackson,Pulp Fiction,False
7331,1994,1995,67,ACTOR IN A SUPPORTING ROLE,Martin Landau,Ed Wood,True
7332,1994,1995,67,ACTOR IN A SUPPORTING ROLE,Chazz Palminteri,Bullets over Broadway,False
7333,1994,1995,67,ACTOR IN A SUPPORTING ROLE,Paul Scofield,Quiz Show,False
7334,1994,1995,67,ACTOR IN A SUPPORTING ROLE,Gary Sinise,Forrest Gump,False
7442,1995,1996,68,ACTOR IN A SUPPORTING ROLE,James Cromwell,Babe,False
7443,1995,1996,68,ACTOR IN A SUPPORTING ROLE,Ed Harris,Apollo 13,False
